Lat Lon emi_CO[kg/m2/s]
44.35 12.15 2.9537722268102584e-10
44.35 12.25 2.8885993597072e-10
44.45 9.45 2.5425940866630192e-11
44.45 9.55 1.41588815325e-11
44.45 9.65 7.123791140317692e-11
44.45 9.75 7.882329511321728e-11
44.45 10.05 5.621763124463719e-11
44.45 10.15 5.4374990621219865e-11
44.45 10.25 7.079747899041422e-11
44.45 10.35 1.7340374969254668e-10
44.45 10.45 1.85971002486518e-10
44.45 10.55 1.1714156034070555e-10
44.45 10.65 2.254568476356411e-10
44.45 10.75 2.3629528889124174e-10
44.45 10.85 1.7287850317959652e-10
44.45 10.95 3.1323901805713206e-10
44.45 11.05 3.2666561122773885e-10
44.45 11.15 3.2207897460168056e-10
44.45 11.25 3.721478680773771e-10
44.45 11.35 4.903532024869151e-10
44.45 11.45 4.1589309773826244e-10
44.45 11.55 3.194929876215724e-10
44.45 11.65 3.358077149684391e-10
44.45 11.75 2.4323507097356867e-10
44.45 11.85 2.600423765208859e-10
44.45 11.95 3.6456568319742644e-10
44.45 12.05 4.0857495164914326e-10
44.45 12.15 2.8118660178044763e-10
44.45 12.25 1.0317594556497056e-09
44.55 9.55 3.157333075543001e-11
44.55 9.65 1.0585742699076306e-10
44.55 9.75 4.748201484772174e-11
44.55 9.85 4.2539249900386267e-11
44.55 9.95 1.3255570252557192e-10
44.55 10.05 5.1590308414173336e-11
44.55 10.15 8.855029209886567e-11
44.55 10.25 1.1571730379467127e-10
44.55 10.35 1.156260850954105e-10
44.55 10.45 1.273467581386356e-10
44.55 10.55 1.3105319607298327e-10
44.55 10.65 1.9393051053917532e-10
44.55 10.75 5.740825592681631e-10
44.55 10.85 5.98384675143393e-10
44.55 10.95 6.37917829671153e-10
44.55 11.05 6.238212169051849e-10
44.55 11.15 4.569722100722373e-10
44.55 11.25 5.553220105980472e-10
44.55 11.35 6.865020218960183e-10
44.55 11.45 5.509701028749703e-10
44.55 11.55 2.7543320402223515e-10
44.55 11.65 1.5975241962618014e-10
44.55 11.75 1.1075201866717066e-10
44.55 11.85 3.6198830044575914e-10
44.55 11.95 1.8637476284499854e-10
44.55 12.05 2.4262339359815144e-10
44.55 12.15 1.4880406629114162e-10
44.55 12.25 8.151058300542857e-11
44.65 9.25 9.30857647907235e-12
44.65 9.35 4.829998206945518e-11
44.65 9.45 4.680572943116523e-11
44.65 9.55 2.4324074004988816e-11
44.65 9.65 4.5374915630391754e-11
44.65 9.75 8.263900674876368e-11
44.65 9.85 5.8081317533265064e-11
44.65 9.95 8.780097482397053e-11
44.65 10.05 2.5169868966834485e-10
44.65 10.15 1.582927400267664e-10
44.65 10.25 2.649236663376797e-10
44.65 10.35 2.673193610913671e-10
44.65 10.45 3.8808478652896383e-10
44.65 10.55 5.918804335536265e-10
44.65 10.65 6.240474803576035e-10
44.65 10.75 6.304829991421457e-10
44.65 10.85 5.012156800709988e-10
44.65 10.95 6.953103648399406e-10
44.65 11.05 3.674752446780616e-10
44.65 11.15 2.5127330771645973e-10
44.65 11.25 3.473067389236917e-10
44.65 11.35 3.9986941535730125e-10
44.65 11.45 5.318902540629722e-10
44.65 11.55 2.797993781111785e-10
44.65 11.65 3.1877223083398576e-10
44.65 11.75 1.944153171784535e-10
44.65 11.85 1.8302419302340667e-10
44.65 11.95 7.357399411933585e-11
44.65 12.05 6.493182380662432e-11
44.65 12.15 7.239589483454267e-11
44.65 12.25 1.274765709657899e-10
44.75 9.25 5.1195270245329993e-11
44.75 9.35 1.1117018416939572e-10
44.75 9.45 3.4208712251793116e-11
44.75 9.55 6.955337000791317e-11
44.75 9.65 4.491817334750792e-11
44.75 9.75 5.529467508869068e-11
44.75 9.85 7.419880682091318e-11
44.75 9.95 9.466632339139025e-11
44.75 10.05 1.9574430965008105e-10
44.75 10.15 4.2131778621445903e-10
44.75 10.25 4.461245817211079e-10
44.75 10.35 4.4757836326070333e-10
44.75 10.45 4.214080751019367e-10
44.75 10.55 5.120959212234766e-10
44.75 10.65 6.145418618430654e-10
44.75 10.75 5.466777031060133e-10
44.75 10.85 4.4457748593629276e-10
44.75 10.95 3.6378788870194967e-10
44.75 11.05 6.053910706071974e-10
44.75 11.15 2.654807762514366e-10
44.75 11.25 4.666757535964905e-10
44.75 11.35 3.7061306801255967e-10
44.75 11.45 2.7188740148176294e-10
44.75 11.55 3.6493985611230073e-10
44.75 11.65 2.98299634993171e-10
44.75 11.75 3.2749458700465084e-10
44.75 11.85 2.2614006500720762e-10
44.75 11.95 2.9554575453616394e-10
44.75 12.05 1.7211629343982793e-10
44.75 12.15 2.7820734604944164e-10
44.75 12.25 1.8303565607613592e-10
44.85 9.05 1.0796371435750629e-10
44.85 9.15 1.247313502483749e-10
44.85 9.25 9.979429782536187e-11
44.85 9.35 4.8142923675387195e-11
44.85 9.45 5.571245201285713e-11
44.85 9.55 1.1636454300134602e-10
44.85 9.65 1.9344964519163454e-10
44.85 9.75 1.1722058046448325e-10
44.85 9.85 2.764276030298163e-10
44.85 9.95 3.0452870780628416e-10
44.85 10.05 3.0378388693463876e-10
44.85 10.15 4.204244175021188e-10
44.85 10.25 4.942253828410514e-10
44.85 10.35 5.090123322837314e-10
44.85 10.45 3.352738642270481e-10
44.85 10.55 2.2730650695024224e-10
44.85 10.65 2.855627678766126e-10
44.85 10.75 3.2502003866063944e-10
44.85 10.85 4.115001672744256e-10
44.85 10.95 3.487072852692563e-10
44.85 11.05 4.4808351473690777e-10
44.85 11.15 2.4673840748334896e-10
44.85 11.25 2.6958421606160243e-10
44.85 11.35 2.791613051833508e-10
44.85 11.45 2.8092986270600306e-10
44.85 11.55 4.716259049963867e-10
44.85 11.65 1.0577552167490012e-09
44.85 11.75 3.1697125479901445e-10
44.85 11.85 3.263716519263937e-10
44.85 11.95 2.2190745074812668e-10
44.85 12.05 1.6784529321967057e-10
44.85 12.15 2.068555882139833e-10
44.85 12.25 2.019453493318224e-10
44.85 12.35 1.2040740626773072e-10
44.85 12.45 2.3419124278722947e-11
44.95 9.05 3.090177558284779e-10
44.95 9.15 1.368253288447363e-10
44.95 9.25 2.0157758795491532e-10
44.95 9.35 1.7732512680446177e-10
44.95 9.45 1.5159827559951822e-10
44.95 9.55 2.4315530144924935e-10
44.95 9.65 3.6630712352270223e-10
44.95 9.75 3.081607191646185e-10
44.95 9.85 3.1137284417503963e-10
44.95 9.95 3.33308880495764e-10
44.95 10.05 2.6003837971799726e-10
44.95 10.15 1.7443589628296507e-10
44.95 10.25 3.922622227037209e-10
44.95 10.35 2.1999735366762252e-10
44.95 10.45 4.541360620891055e-10
44.95 10.55 3.961161398891022e-10
44.95 10.65 4.814229015437377e-10
44.95 10.75 3.8625405651693256e-10
44.95 10.85 3.7375033623554543e-10
44.95 10.95 2.9252208988417294e-10
44.95 11.05 3.124643044305486e-10
44.95 11.15 1.7736788426869765e-10
44.95 11.25 3.7411818087917936e-10
44.95 11.35 2.078907601621438e-10
44.95 11.45 1.98102270698719e-10
44.95 11.55 3.035857676358944e-10
44.95 11.65 2.7749291753309535e-10
44.95 11.75 2.677538746276298e-10
44.95 11.85 2.1930339488829276e-10
44.95 11.95 1.923680520432569e-10
44.95 12.05 2.072192695212749e-10
44.95 12.15 1.710284830425124e-10
44.95 12.25 1.5530464414492684e-10
44.95 12.35 1.242588698602276e-09
44.95 12.45 8.793617223279426e-11
45.05 8.65 2.3754379019358396e-10
45.05 8.75 2.0666762745591427e-10
45.05 8.95 3.741308374216601e-10
45.05 9.05 3.5779007534486595e-10
45.05 9.15 4.169049550029058e-10
45.05 9.25 4.475122772351625e-10
45.05 9.35 3.5413452725840955e-10
45.05 9.45 5.650224177422558e-10
45.05 9.55 3.6338557163340113e-10
45.05 9.65 6.478479974703077e-10
45.05 9.75 5.156971516484532e-10
45.05 9.85 2.6256244400890694e-10
45.05 9.95 3.1489183482946714e-10
45.05 10.05 1.4912052148652322e-10
